source_raw,source_type,relation,target_raw,target_type,source_chunk_id,source_row_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id
Sineng Electric,Company,USES,onsemi EliteSiC silic,Technology,https://www.businesswire.com/news/home/20230515005855/en/onsemi-and-Sineng-Electric-Spearhead-the-Development-of-Sustainable-Energy-Applications/::c0000,0,2023-05-16,Sineng Electric will integrate onsemi EliteSiC silic,0.9,Sineng Electric,onsemi EliteSiC silic,sineng electric,onsemi elitesic silic,lab19_b1d4bcc3cf0bdd464cb971b3,lab19_d5a3173601c6bc2ac3df1b30
GreenPages,Company,ACQUIRED,Zanaris,Company,https://www.crn.com/news/managed-services/terry-richardson-on-why-he-left-amd-greenpages-technology-chops-and-the-ai-opportunity::c0000,3,2023-05-02,GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm,0.95,GreenPages,Zanaris,greenpages,zanaris,lab19_0430a89df77e6234ef375307,lab19_d00f157aa6483414b0dba69f
Sojern,Company,ACQUIRED,VenueLytics,Technology,https://skift.com/2023/07/11/sojern-expands-into-new-hotel-tech-via-acquisition-heres-the-thinking/::c0000,39,2023-07-11,Sojern has acquired VenueLytics a platform that provides guest management and communications software for independent hotels,1.0,Sojern,VenueLytics,sojern,venuelytics,lab19_35e37b7b526c1fa5530c8c36,lab19_96855539b7d5c1ad242bac9f
IAS,Company,PARTNERED_WITH,Amazon Publisher Services Connections Marketplace,Technology,https://bestmediainfo.com/2023/03/ias-provides-verification-solution-to-amazon-publisher-services-connections-marketplace::c0000,46,2023-03-29,IAS is now the first verification provider accessible within the APS Connections Marketplace,1.0,IAS,Amazon Publisher Services Connections Marketplace,ias,amazon publisher services connections marketplace,lab19_36f5716915bc9a820d632fe5,lab19_7e0e53d4371f71849a9f1cdf
Intelligent Technical Solutions,Company,ACQUIRED,Granite Computer Solutions,Company,https://markets.businessinsider.com/news/stocks/intelligent-technical-solutions-expands-acquires-five-managed-service-providers-1032196706::c0000,50,2023-03-28,Intelligent Technical Solutions has acquired Granite Computer Solutions,1.0,Intelligent Technical Solutions,Granite Computer Solutions,intelligent technical solutions,granite computer solutions,lab19_23d7ceb58c062d83135817ba,lab19_71006530fc72a47a51a3f8e4
Intelligent Technical Solutions,Company,ACQUIRED,BrightWire Networks,Company,https://markets.businessinsider.com/news/stocks/intelligent-technical-solutions-expands-acquires-five-managed-service-providers-1032196706::c0000,50,2023-03-28,Intelligent Technical Solutions has acquired BrightWire Networks,1.0,Intelligent Technical Solutions,BrightWire Networks,intelligent technical solutions,brightwire networks,lab19_23d7ceb58c062d83135817ba,lab19_13560ce11a7425ac7d706b75
SIOS Technology Corp.,Company,PARTNERED_WITH,ACP IT Solutions GmbH Dresden,Company,https://it.tmcnet.com/news/2023/08/14/9863898.htm::c0000,54,2023-08-14,SIOS Technology Corp. today announced it has partnered with ACP IT Solutions GmbH Dresden,1.0,SIOS Technology Corp.,ACP IT Solutions GmbH Dresden,sios technology corp.,acp it solutions gmbh dresden,lab19_174ebc72eaa6debdae9049a9,lab19_c7731f8aaf2677eb3ece67e5
LeanTaaS,Company,ACQUIRED,Hospital IQ,Company,https://www.tmcnet.com/channels/call-center-management/news/-leantaas-acquires-hospital-iq-create-ai-innovator-hospital-/2023/01/10/9740970.htm::c0000,120,2023-01-10,LeanTaaS Acquires Hospital IQ,1.0,LeanTaaS,Hospital IQ,leantaas,hospital iq,lab19_0d38fd81ca44fb425b0da5cc,lab19_db47280f083160ab7a469f8a
Prolucent Health,Company,PARTNERED_WITH,UKG,Company,https://www.businesswire.com/news/home/20230906867778/en/Prolucent-and-UKG-Announce-Technology-Integration-Partnership::c0000,127,2023-09-06,Prolucent ... announced a new technology partnership with UKG,1.0,Prolucent Health,UKG,prolucent health,ukg,lab19_a7a6e962938e08298ced16f7,lab19_e23c5421d4f8b156c0c6101c
Fidelity National Information Services Inc.,Company,ACQUIRED,Worldpay,Company,https://www.jaxdailyrecord.com/article/fidelity-national-information-services-inc-seen-as-activist-investor-target::c0000,148,2022-12-15,the company sought to widen its reach with the acquisition of Cincinnati-based Worldpay,1.0,Fidelity National Information Services,Worldpay,fidelity national information services,worldpay,lab19_3f052c4690533ff0ac061e7c,lab19_6c9d7e54e74efb990288221c
Dr. DeAngela Burns-Wallace,Person,LEADS,Office of Information Technology Services,Technology,https://newstalkkzrg.com/2022/12/05/kansas-gives-a-farewell-to-secretary-of-administration-and-chief-information-technology-officer-dr-deangela-burns-wallace/::c0000,153,2022-12-05,Dr. DeAngela Burns-Wallace also has led the Office of Information Technology Services as Chief Information Technology Officer (CITO) since August 2019,1.0,Dr. DeAngela Burns-Wallace,Office of Information Technology Services,dr. deangela burns-wallace,office of information technology services,lab19_bf06bdd462ec796408bcc48f,lab19_ef574e369bf6c6c941890032
