source_raw,source_type,relation,target_raw,target_type,source_chunk_id,source_row_id,published_date,evidence,confidence
Sineng Electric,Company,USES,onsemi EliteSiC silic,Technology,https://www.businesswire.com/news/home/20230515005855/en/onsemi-and-Sineng-Electric-Spearhead-the-Development-of-Sustainable-Energy-Applications/::c0000,0,2023-05-16,Sineng Electric will integrate onsemi EliteSiC silic,0.9
GreenPages,Company,ACQUIRED,Zanaris,Company,https://www.crn.com/news/managed-services/terry-richardson-on-why-he-left-amd-greenpages-technology-chops-and-the-ai-opportunity::c0000,3,2023-05-02,GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm,0.95
Sojern,Company,ACQUIRED,VenueLytics,Technology,https://skift.com/2023/07/11/sojern-expands-into-new-hotel-tech-via-acquisition-heres-the-thinking/::c0000,39,2023-07-11,Sojern has acquired VenueLytics a platform that provides guest management and communications software for independent hotels,1.0
IAS,Company,PARTNERED_WITH,Amazon Publisher Services Connections Marketplace,Technology,https://bestmediainfo.com/2023/03/ias-provides-verification-solution-to-amazon-publisher-services-connections-marketplace::c0000,46,2023-03-29,IAS is now the first verification provider accessible within the APS Connections Marketplace,1.0
Intelligent Technical Solutions,Company,ACQUIRED,Granite Computer Solutions,Company,https://markets.businessinsider.com/news/stocks/intelligent-technical-solutions-expands-acquires-five-managed-service-providers-1032196706::c0000,50,2023-03-28,Intelligent Technical Solutions has acquired Granite Computer Solutions,1.0
Intelligent Technical Solutions,Company,ACQUIRED,BrightWire Networks,Company,https://markets.businessinsider.com/news/stocks/intelligent-technical-solutions-expands-acquires-five-managed-service-providers-1032196706::c0000,50,2023-03-28,Intelligent Technical Solutions has acquired BrightWire Networks,1.0
SIOS Technology Corp.,Company,PARTNERED_WITH,ACP IT Solutions GmbH Dresden,Company,https://it.tmcnet.com/news/2023/08/14/9863898.htm::c0000,54,2023-08-14,SIOS Technology Corp. today announced it has partnered with ACP IT Solutions GmbH Dresden,1.0
LeanTaaS,Company,ACQUIRED,Hospital IQ,Company,https://www.tmcnet.com/channels/call-center-management/news/-leantaas-acquires-hospital-iq-create-ai-innovator-hospital-/2023/01/10/9740970.htm::c0000,120,2023-01-10,LeanTaaS Acquires Hospital IQ,1.0
Prolucent Health,Company,PARTNERED_WITH,UKG,Company,https://www.businesswire.com/news/home/20230906867778/en/Prolucent-and-UKG-Announce-Technology-Integration-Partnership::c0000,127,2023-09-06,Prolucent ... announced a new technology partnership with UKG,1.0
Fidelity National Information Services Inc.,Company,ACQUIRED,Worldpay,Company,https://www.jaxdailyrecord.com/article/fidelity-national-information-services-inc-seen-as-activist-investor-target::c0000,148,2022-12-15,the company sought to widen its reach with the acquisition of Cincinnati-based Worldpay,1.0
Dr. DeAngela Burns-Wallace,Person,LEADS,Office of Information Technology Services,Technology,https://newstalkkzrg.com/2022/12/05/kansas-gives-a-farewell-to-secretary-of-administration-and-chief-information-technology-officer-dr-deangela-burns-wallace/::c0000,153,2022-12-05,Dr. DeAngela Burns-Wallace also has led the Office of Information Technology Services as Chief Information Technology Officer (CITO) since August 2019,1.0
Chris Barber,Person,LEADS,eastern regional team,Technology,https://www.automation.com/en-us/articles/june-2023/kpi-solutions-expands-new-atlanta-office::c0000,156,2023-06-05,Chris Barber leads the eastern regional team,0.9
Synergy,Company,PARTNERED_WITH,Fabric,Company,https://www.dcvelocity.com/articles/56797-fabric-and-synergy-join-forces-to-provide-retailers-with-advanced-automated-fulfillment-solutions::c0000,163,2023-03-07,Systems integrator joins Fabric’s Partner Elite Program as a strategic partner,0.9
Syzygy Plasmonics,Company,USES,Emerson,Company,https://www.automation.com/en-us/articles/may-2023/syzygy-plasmonics-emerson-automate-electrification::c0000,169,2023-05-15,Syzygy Plasmonics Selects Emerson to Automate Electrification of Chemical Production Processes,0.9
Smart Eye,Company,DEVELOPED,Driver Monitoring System,Technology,https://www.businesswire.com/news/home/20230626956385/en/Smart-Eye-Signs-Breakthrough-Deal-for-AIS-Driver-Monitoring-System-for-Fleets-with-Linde::c0000,179,2023-06-26,Smart Eye the leading developer of Driver Monitoring System (DMS) technology,0.95
Smart Eye,Company,PARTNERED_WITH,Linde,Company,https://www.businesswire.com/news/home/20230626956385/en/Smart-Eye-Signs-Breakthrough-Deal-for-AIS-Driver-Monitoring-System-for-Fleets-with-Linde::c0000,179,2023-06-26,Smart Eye Signs Breakthrough Deal for AIS Driver Monitoring System for Fleets with Linde,0.9
Microsoft,Company,PARTNERED_WITH,Dynamics 365 Finance and Operations,Technology,https://apnews.com/article/technology-business-99795ddc39ed4fafbc05c514cf446e42::c0000,219,2022-12-14,We are very pleased to enhance our partnership and investment with Microsoft providing affordable Tier-1 Transportation Management Solutions,0.9
Raleon,Company,FOUNDED,nCino,Company,https://www.bizjournals.com/triangle/inno/stories/fundings/2023/08/25/web3-startup-raleon-raises-nearly-four-million.html::c0000,269,2023-08-25,A web3 company founded by a team of former nCino (Nasdaq: NCNO) technologists,0.9
Nathan Snell,Person,LEADS,Raleon,Company,https://www.bizjournals.com/triangle/inno/stories/fundings/2023/08/25/web3-startup-raleon-raises-nearly-four-million.html::c0000,269,2023-08-25,Nathan Snell co-founder and CEO of Wilmington-based Raleon,1.0
o9 Solutions,Company,PARTNERED_WITH,Telangana Government,Company,https://www.businesswire.com/news/home/20230826511370/en/::c0000,276,2023-08-27,o9 Solutions Announces Hyderabad Office and Strategic Partnership With Telangana Government,1.0
o9 Solutions,Company,DEVELOPED,AI powered software platform,Technology,https://www.businesswire.com/news/home/20230826511370/en/::c0000,276,2023-08-27,Solutions a leading AI powered software platform used by global manufacturers and retailers,0.9
Christopher Kirchner,Person,FOUNDED,Slync,Company,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2023/10/27/logistics-startup-slync-christopher-kirchner.html::c0000,283,2023-10-27,Logistics startup Slync is shutting down and pointing the finger at co-founder and former CEO Christopher Kirchner,0.95
Christopher Kirchner,Person,LEADS,Slync,Company,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2023/10/27/logistics-startup-slync-christopher-kirchner.html::c0000,283,2023-10-27,co-founder and former CEO Christopher Kirchner,1.0
Pavion,Company,ACQUIRED,K&J Integrated Systems,Company,https://technews.tmcnet.com/news/2023/07/18/9850160.htm::c0000,298,2023-07-18,Pavion Acquires K&J Integrated Systems,1.0
Synechron,Company,PARTNERED_WITH,VisionGroup,Company,https://www.benzinga.com/pressreleases/23/07/n33193613/synechron-and-visiongroup-partner-to-leverage-datasense::c0000,311,2023-07-12,Synechron and VisionGroup Partner to Leverage dataSense,1.0
dataSense,Technology,USES,Synechron,Company,https://www.benzinga.com/pressreleases/23/07/n33193613/synechron-and-visiongroup-partner-to-leverage-datasense::c0000,311,2023-07-12,Synechron and VisionGroup Partner to Leverage dataSense,0.9
The Associated Press,Company,PARTNERED_WITH,OpenAI,Company,https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration::c0000,366,2023-07-13,The Associated Press and OpenAI have reached an agreement to share access to select news content and technology,1.0
OpenAI,Company,USES,generative AI,Technology,https://www.ap.org/press-releases/2023/ap-open-ai-agree-to-share-select-news-content-and-technology-in-new-collaboration::c0000,366,2023-07-13,potential use cases for generative AI in news products and services,0.9
MEF,Company,PARTNERED_WITH,CyberRatings.org,Company,https://www.tmcnet.com/usubmit/2023/10/03/9891464.htm::c0000,369,2023-10-03,MEF ... and CyberRatings.org (CyberRatings) ... accelerating enterprise digital transformation and CyberRatings.org ... through its research and testing programs,0.8
Eric Schummer,Person,FOUNDED,Senzary LLC,Company,https://www.iotevolutionworld.com/iot/articles/454712-lorawan-iotlogiq-industry-40-senzarys-finger-the-pulse.htm::c0000,386,2023-01-24,Eric Schummer the founder and CEO of Senzary LLC,1.0
Eric Schummer,Person,LEADS,Senzary LLC,Company,https://www.iotevolutionworld.com/iot/articles/454712-lorawan-iotlogiq-industry-40-senzarys-finger-the-pulse.htm::c0000,386,2023-01-24,Eric Schummer the founder and CEO of Senzary LLC,1.0
stow Robotics,Company,PARTNERED_WITH,Phononic,Company,https://www.logisticsmgmt.com/article/automation_provider_stow_robotics_and_cooling_vendor_phononic_partner_on_co::c0000,397,2023-01-31,Automation provider stow Robotics and cooling vendor Phononic partner on cold-chain fulfillment,1.0
Andrew Ellam,Person,LEADS,Climate X,Company,https://www.crowdfundinsider.com/2023/01/201206-climate-x-a-climate-risk-data-and-analytics-provider-appoints-andrew-ellam-as-vp-of-technology/::c0000,406,2023-01-17,Climate X a Climate Risk Data and Analytics Provider Appoints Andrew Ellam as VP of Technology,1.0
Juniper Networks,Company,PARTNERED_WITH,Deutsche Telekom,Company,https://finance.yahoo.com/news/juniper-networks-selected-preferred-technology-143400189.html::c0000,412,2023-01-05,Juniper Networks Selected as Preferred Technology Partner for Deutsche Telekom’s Universal Managed Services Infrastructure,1.0
Evernorth Health Services,Company,ACQUIRED,Bright.md Technology Platform,Technology,https://www.nasdaq.com/articles/evernorth-health-services-buys-bright.md-technology-platform::c0000,422,2023-10-10,Evernorth Health Services ... announced it will acquiring the technology and clinical capabilities of Bright.md,1.0
Ryan Specialty,Company,ACQUIRED,Socius Insurance Services,Company,https://www.benzinga.com/pressreleases/23/05/b32540262/ryan-specialty-signs-definitive-agreement-to-acquire-socius-insurance::c0000,469,2023-05-23,Ryan Specialty ... has signed a definitive agreement to acquire Socius Insurance Services,1.0
HID,Company,DEVELOPED,HID Origo Technology Partner Program,Technology,https://www.securitysystemsnews.com/article/hid-introduces-technology-partner-program-for-mobile-solutions::c0000,480,2023-05-23,HID has announced the release of its HID Origo Technology Partner Program,1.0
Truescope,Company,ACQUIRED,Universal Information Services,Company,https://www.scoop.co.nz/stories/BU2302/S00020/truescope-acquires-us-firm-universal-information-services.htm::c0000,482,2023-02-01,Australian media intelligence company Truescope has strengthened its position in North America by acquiring leading agency Universal Information Services (UIS),1.0
Transact,Company,PARTNERED_WITH,Talkiatry,Company,https://campustechnology.com/articles/2023/08/31/transact-campus-partnership-lands-talkiatry-services-on-campus-transact-apps.aspx::c0000,592,2023-09-05,The partnership will “provide students with access to quality psychiatric services ...” Talkiatry said. Transact said Transact will provide partner institutions ...,1.0
Syxsense,Company,PARTNERED_WITH,EVOTEK,Company,https://channelvisionmag.com/syxsense-evotek-partner-to-make-endpoint-security-management-easier/::c0000,608,2023-04-21,Syxsense EVOTEK Partner to Make Endpoint Security Management Easier,1.0
Ivy Tech Community College - Columbus,Company,PARTNERED_WITH,Seymour High School,Company,https://www.therepublic.com/2023/10/08/ivy-tech-seymour-partner-on-high-school-career-events/::c0000,614,2023-10-08,Ivy Tech Community College - Columbus and Seymour High School have partnered,1.0
Senser,Company,FOUNDED,Or Sadeh,Person,https://www.tmcnet.com/usubmit/2023/09/27/9888588.htm::c0000,623,2023-09-27,Co-Founders Or Sadeh and Yuval Lev,1.0
